Row Labels,Sum of value,,Row Labels,Sum of value,,Row Labels,Sum of value,,Row Labels,Sum of value
Austria,350.0079,,Historical,147709.1812,,Electricity demand,3855.62,,Buses,22198.72785
Belgium,201.0556,,Grand Total,147709.1812,,EV charging points,18500,,Cars,70978.72074
Brazil,10.00035,,,,,EV sales,26064,,EV,18500
Canada,6.0011,,,,,EV sales share,2.778779994,,Trucks,5394.610976
China,7001.593979,,,,,EV stock,99178,,Vans,30637.12164
Denmark,104.2021,,,,,EV stock share,2.130621996,,Grand Total,147709.1812
EU27,20034.8396,,,,,Oil displacement Mbd,0.001812,,,
Europe,31483.07888,,,,,"Oil displacement, million lge",106.6499993,,,
France,3225.65293,,,,,Grand Total,147709.1812,,,
Germany,819.10448,,,,,,,,,
Iceland,45.0067,,,,,,,,,
India,1331.326022,,,,,,,,,
Israel,9.00032,,,,,,,,,
Italy,1720.1457,,,,,,,,,
Japan,6212.0591,,,,,,,,,
Korea,132.01327,,,,,,,,,
Netherlands,964.2836,,,,,,,,,
New Zealand,86.29677999,,,,,,,,,
Norway,5863.4034,,,,,,,,,
Poland,19.0126,,,,,,,,,
Portugal,733.0208,,,,,,,,,
Rest of the world,1190.952375,,,,,,,,,
Spain,152.00804,,,,,,,,,
Sweden,8.001392,,,,,,,,,
United Kingdom,6749.5573,,,,,,,,,
USA,5585.41386,,,,,,,,,
World,53672.14304,,,,,,,,,
Grand Total,147709.1812,,,,,,,,,
